customerid,firstname,lastname,gender,age,tenure,noofproducts,is_verified,branch,address,creditscore,customer_status
100342,Madelyn,Swan,Female,42,1,2,Y,BOB0002346,"Baynes  Alley, 4025",663,
100343,Paula,Wallace,Female,41,4,2,Y,BOB0002346,"Blackall   Grove, 4933",498,
100344,Chelsea,Wills,Female,35,9,2,Y,BOB0002349,"Battersea   Crossroad, 3104",573,
100345,Ivy,Owen,Female,46,2,1,Y,BOB0002348,"West Crossroad, 439",693,
100346,Leilani,Allen,Female,25,7,2,Y,BOB0002348,"Burton  Pass, 6786",806,
100348,Alma,Sheldon,Female,49,6,1,Y,BOB0002345,"Bayberry Rue, 74",610,
100353,Taylor,Pearson,Female,35,8,2,Y,BOB0002349,"Meadow Tunnel, 5587",639,
100356,Barry,Price,Male,24,6,1,Y,BOB0002348,"Armory  Hill, 9493",564,
100357,Daniel,Hunt,Male,29,1,1,Y,BOB0002345,"Queensberry  Road, 2122",591,
100361,Mayleen,Wilton,Female,27,9,1,Y,BOB0002348,"Chartham  Tunnel, 3809",497,
100362,Matt,Nobbs,Male,37,10,2,Y,BOB0002348,"Howard Lane, 5596",836,
100364,Logan,Yarwood,Male,27,4,2,Y,BOB0002348,"Durham Lane, 4242",656,
100366,Blake,Larkin,Female,32,3,2,Y,BOB0002348,"Lexington Way, 6232",642,
100367,Harry,Gaynor,Male,45,5,1,Y,BOB0002346,"Badric  Hill, 4391",850,
100370,Alan,Knight,Male,22,3,1,Y,BOB0002345,"Boadicea   Grove, 5110",628,
100371,Hailey,Vallory,Female,36,9,1,Y,BOB0002346,"Chart   Avenue, 9850",718,
100372,Lynn,Fall,Female,26,4,1,Y,BOB0002346,"Queen Rue, 3726",702,
100376,Matthew,Olivier,Male,38,5,2,Y,BOB0002347,"Vine  Drive, 3128",622,
100378,Bridget,Noach,Female,44,1,1,Y,BOB0002347,"Hammersmith  Road, 4192",713,
100380,Jackeline,Yang,Female,38,4,2,Y,BOB0002348,"Chestnut  Pass, 5188",685,
100383,Cedrick,Parker,Male,26,3,2,Y,BOB0002346,"Chatsworth  Rue, 5",714,
100384,Elle,Wright,Female,27,7,2,Y,BOB0002349,"Virginia Route, 3216",583,
100385,Barney,Emmett,Male,35,0,1,Y,BOB0002345,"Cingworth  Crossroad, 719",730,
100386,Julius,Vernon,Male,47,6,1,Y,BOB0002347,"Blenkarne  Crossroad, 2765",497,
100387,Piper,Burge,Female,26,7,2,Y,BOB0002349,"Abbotswell  Hill, 8505",601,
100389,Sabrina,Downing,Female,49,8,2,Y,BOB0002345,"Sheraton   Pass, 1324",678,
100390,Margot,Irwin,Female,30,8,2,Y,BOB0002347,"King William  Way, 3485",696,
100391,Elly,Garcia,Female,38,8,2,Y,BOB0002346,"Arundel   Boulevard, 3076",538,
100392,Julia,Becker,Female,31,4,2,Y,BOB0002347,"Queen Caroline   Tunnel, 9579",671,
100394,Anthony,Whitmore,Male,18,7,2,Y,BOB0002349,"Ayres   Vale, 537",674,
100395,Harvey,Wigley,Male,37,9,1,Y,BOB0002347,"Duthie   Lane, 883",555,
100396,Nicholas,Milner,Male,57,7,1,Y,BOB0002349,"Durham Road, 6617",706,
100398,Hank,Ainsworth,Male,46,6,1,Y,BOB0002345,"Bush  Vale, 6279",376,
100400,Belinda,Notman,Female,31,1,1,Y,BOB0002349,"Bicknell  Tunnel, 6842",802,
100402,Analise,Saunders,Female,42,8,2,Y,BOB0002345,"Spruce Tunnel, 4101",708,
100404,Chadwick,Lynn,Male,58,0,1,Y,BOB0002345,"Camera  Drive, 8769",511,
100405,Davina,Holt,Female,47,9,1,Y,BOB0002348,"Cavaye  Rue, 3267",758,
100406,Hanna,Brooks,Female,32,4,2,Y,BOB0002345,"South Way, 160",582,
100409,Joseph,Roberts,Male,25,7,2,Y,BOB0002345,"Boldero   Drive, 1211",642,
100410,Amy,Crawley,Female,33,9,2,Y,BOB0002347,"Buttonwood Pass, 9717",663,
100414,Tony,Harper,Male,40,6,2,Y,BOB0002347,"Longleigh   Crossroad, 8078",642,
100432,Naomi,Porter,Female,33,2,2,Y,BOB0002349,"Cam  Tunnel, 2680",649,
100435,Gil,Whitehouse,Male,32,6,2,Y,BOB0002349,"Norfolk  Pass, 1925",616,
100461,Oliver,Collis,Male,31,4,1,Y,BOB0002348,"Sheffield Walk, 8996",714,
100471,Keira,Silva,Female,33,3,1,Y,BOB0002346,"Chelsea Manor  Drive, 4595",628,
100472,Sylvia,Brown,Female,42,4,1,Y,BOB0002346,"Lake Boulevard, 4129",801,
100473,Alexander,Scott,Male,35,7,2,Y,BOB0002345,"Commercial  Lane, 9237",717,
100485,Matthew,Milner,Male,58,6,1,Y,BOB0002349,"Coal Wharf  Avenue, 4261",707,
100492,George,Parker,Male,38,0,2,Y,BOB0002345,"Walnut Drive, 430",587,
100500,Chester,Wise,Male,38,4,2,Y,BOB0002348,"Durnford  Crossroad, 4468",520,
100503,Mackenzie,Kerr,Female,22,8,2,Y,BOB0002345,"St. Pauls  Vale, 9824",543,
100512,Adeline,Corbett,Female,40,8,2,Y,BOB0002346,"Lexington Pass, 7243",749,
100565,Carl,James,Male,28,7,2,Y,BOB0002347,"South Walk, 9473",561,
100593,Maggie,Cox,Female,50,6,1,Y,BOB0002348,"Enderby   Avenue, 9369",600,
100600,Amelia,Carter,Female,53,8,1,Y,BOB0002348,"Abbotswell  Crossroad, 9748",604,
100601,Harvey,Myatt,Male,31,8,2,Y,BOB0002349,"Camelot   Hill, 9581",696,
100639,Eve,Bennett,Female,32,1,1,Y,BOB0002349,"Clifton  Walk, 9502",654,
100738,Julia,Stark,Female,31,10,1,Y,BOB0002347,"Bekesbourne   Way, 1329",685,
100744,Mina,Umney,Female,35,1,1,Y,BOB0002348,"Linden Grove, 2319",710,
100761,Sabrina,Huggins,Female,45,7,3,Y,BOB0002345,"Chapel  Street, 7233",629,
100776,Bob,Flanders,Male,45,1,2,Y,BOB0002345,"Burton  Avenue, 2622",613,
100801,Rufus,Stubbs,Male,42,9,2,Y,BOB0002347,"Cavendish Alley, 6654",732,
100802,Hanna,Strong,Female,32,3,1,Y,BOB0002347,"Jackson Route, 1744",488,
100803,Danielle,Simpson,Female,28,8,1,Y,BOB0002345,"Camelot   Way, 3769",639,
100804,Stella,Allen,Female,29,9,3,Y,BOB0002346,"South Avenue, 5095",610,
100805,Tony,Poulton,Male,55,9,2,Y,BOB0002347,"Underwood  Grove, 1135",770,
100807,Owen,Parker,Male,36,6,2,Y,BOB0002349,"Kingly  Pass, 5677",652,
100900,Sloane,Locke,Female,45,7,1,Y,BOB0002349,"Church Pass, 9989",607,
100967,Liam,Griffiths,Male,58,4,1,Y,BOB0002348,"Railroad Street, 2993",599,
100968,Jacqueline,Rivers,Female,49,2,1,Y,BOB0002346,"Chapel  Pass, 9287",625,
100969,Karen,Snow,Female,57,4,1,Y,BOB0002347,"Aylward   Road, 2691",836,
100970,Johnny,Driscoll,Male,36,1,2,Y,BOB0002348,"South Avenue, 9189",714,
100971,Cristal,Addley,Female,37,0,1,Y,BOB0002345,"Western   Walk, 4182",525,
100972,Ethan,Fox,Male,45,9,1,Y,BOB0002349,"Elgood   Pass, 6306",672,
111111,Mark,Latham,Male,37,10,1,Y,BOB0002348,"Fawn Way, 6674",502,
111444,Gwenyth,Clifton,Female,28,3,2,Y,BOB0002349,"Byland  Route, 4758",798,
111478,Mavis,Bentley,Female,37,2,2,Y,BOB0002346,"Boadicea   Street, 290",645,
111482,Adalie,Tutton,Female,34,3,2,Y,BOB0002346,"Cleveland  Street, 2907",488,
111486,Adina,Jones,Female,37,1,1,Y,BOB0002348,"Birkbeck  Road, 905",572,
111498,Gil,Emmett,Male,38,9,1,Y,BOB0002347,"Howard Drive, 7584",785,
111501,Chris,Vane,Male,36,2,1,Y,BOB0002346,"Hamilton  Drive, 9217",744,
111502,Eve,Kennedy,Female,46,7,1,Y,BOB0002349,"Arlington  Drive, 6179",695,
111602,Mary,Webster,Female,33,2,1,Y,BOB0002348,"Thomas Doyle   Drive, 3975",564,
111612,Penelope,Cox,Female,22,3,1,Y,BOB0002345,"Bigland  Avenue, 9002",750,
111613,Lexi,Norris,Female,45,7,2,Y,BOB0002345,"Beechen  Alley, 9727",808,
111614,Elijah,Strong,Male,28,3,2,Y,BOB0002348,"Capeners  Rue, 1647",635,
111653,Anthony,Booth,Male,45,2,2,Y,BOB0002349,"Cheney  Alley, 3095",709,
111659,Percy,Gilmour,Male,35,6,1,Y,BOB0002348,"Castle Hill, 2498",660,
111661,Cynthia,King,Female,37,5,1,Y,BOB0002349,"Sherwood  Lane, 425",823,
111700,Fred,Shields,Male,50,3,1,Y,BOB0002348,"Bethwin  Boulevard, 5507",621,
111800,Maribel,Stewart,Female,22,6,1,Y,BOB0002345,"Dunton  Road, 3834",550,
111801,Maia,Drew,Female,28,3,1,Y,BOB0002346,"Blean   Lane, 9016",581,
111802,Keira,Tutton,Female,33,9,1,Y,BOB0002349,"Chalcot  Tunnel, 5661",591,
111803,Lily,Leigh,Female,33,1,2,Y,BOB0002348,"Queensberry  Tunnel, 8874",679,
111804,Liliana,Grant,Female,21,10,2,Y,BOB0002345,"Arlington  Pass, 1258",544,
120006,Rowan,Durrant,Female,37,9,3,Y,BOB0002347,"Black Friars   Street, 5044",592,
120010,Wade,Nanton,Male,29,6,2,Y,BOB0002345,"Anns  Hill, 5836",636,
120012,Skylar,Hill,Female,48,6,2,Y,BOB0002346,"Cable    Street, 4763",550,
120014,Ron,Gallacher,Male,65,9,3,Y,BOB0002345,"Fairholt   Grove, 8240",580,
120016,Tony,Talbot,Male,36,2,2,Y,BOB0002345,"Aspen Pass, 7086",698,
120019,Jasmine,Antcliff,Female,46,5,1,Y,BOB0002349,"Vintners  Walk, 4067",450,
120110,Roger,Camden,Male,34,4,1,Y,BOB0002348,"Bedford  Alley, 1933",715,
120131,Makenzie,Norburn,Female,67,6,1,Y,BOB0002348,"Charterhouse  Rue, 2631",816,
120132,Nate,Rowe,Male,23,9,1,Y,BOB0002347,"Chamberlain  Avenue, 6344",665,
120198,Brad,Ellis,Male,30,2,3,Y,BOB0002349,"Eaglet  Street, 1723",685,
123123,Cameron,Palmer,Female,27,0,1,Y,BOB0002346,"Caldwell   Boulevard, 6935",594,
129034,Ciara,Redwood,Female,30,0,2,Y,BOB0002349,"Arthur  Street, 8396",525,
130130,Hazel,Hopkinson,Female,24,7,1,Y,BOB0002349,"Ely  Way, 9344",704,
130131,Logan,Ashwell,Female,39,6,1,Y,BOB0002345,"Castlereagh   Crossroad, 8279",728,
133133,Carter,Michael,Male,47,0,2,Y,BOB0002347,"Lake Road, 8773",652,
137011,Charlize,Chapman,Female,38,6,1,Y,BOB0002347,"Cheney  Pass, 8456",539,
140140,Domenic,Willis,Male,37,5,1,Y,BOB0002346,"Gavel   Route, 3033",650,
140141,Nick,Heaton,Male,44,9,1,Y,BOB0002347,"Badric  Drive, 9509",735,
140142,Owen,Driscoll,Male,32,0,2,Y,BOB0002348,"Canon Boulevard, 1877",416,
140143,Jules,Flack,Female,32,7,2,Y,BOB0002349,"Tilloch   Hill, 425",754,
143143,Alan,Curtis,Male,52,8,2,Y,BOB0002348,"Virginia Street, 3253",751,
150150,Mackenzie,Gregory,Female,35,1,2,Y,BOB0002348,"Cadogan  Avenue, 5188",579,
160101,Abbey,Stark,Female,34,9,1,Y,BOB0002345,"Egerton  Boulevard, 3963",750,
160102,Mason,Fleming,Male,35,6,2,Y,BOB0002348,"East Road, 1616",554,
160103,Rose,Mills,Female,56,6,2,Y,BOB0002346,"Sherlock   Road, 3774",648,
160104,Sloane,Robertson,Female,51,3,1,Y,BOB0002348,"East Tunnel, 1163",765,
160105,Harvey,Craig,Male,37,6,1,Y,BOB0002349,"Viscount   Street, 800",825,
160106,Dorothy,Gregory,Female,30,2,2,Y,BOB0002348,"Victoria Rise Grove, 6420",621,
160107,Caleb,Crawley,Male,55,8,2,Y,BOB0002345,"Howard Crossroad, 9542",664,
160108,Isabel,Sawyer,Female,37,3,2,Y,BOB0002347,"Cedarne  Vale, 3861",474,
160109,Jenna,Harris,Female,48,2,2,Y,BOB0002345,"Bede  Alley, 1346",667,
160110,Carter,Weasley,Male,31,9,1,Y,BOB0002346,"Gatonby   Grove, 7729",738,
160111,Bob,Dyson,Male,49,8,1,Y,BOB0002346,"Howard Pass, 4517",492,
160112,Jacqueline,Drake,Female,41,9,2,Y,BOB0002349,"Marischal  Pass, 6524",595,
160113,Candice,Anderson,Female,31,8,1,Y,BOB0002345,"Norfolk  Street, 3040",634,
160114,Eryn,Walker,Female,45,9,1,Y,BOB0002349,"Fairfield  Crossroad, 4742",702,
160115,Bryon,May,Male,34,3,1,Y,BOB0002347,"Bendall   Route, 2143",501,
160116,Chadwick,Hopkinson,Male,53,10,1,Y,BOB0002348,"Clissold  Crossroad, 3101",598,
160117,Luke,Bryson,Male,56,7,1,Y,BOB0002346,"Canon Vale, 8813",850,
160118,Harvey,Dickson,Male,35,3,1,Y,BOB0002349,"Tilloch   Lane, 3907",738,
160119,Sage,Ramsey,Female,47,6,1,Y,BOB0002349,"Unwin  Street, 1406",596,
160160,William,Gilmour,Male,31,9,2,Y,BOB0002346,"West Alley, 3791",551,
160161,Kassandra,Upton,Female,61,9,2,Y,BOB0002349,"Spruce Avenue, 3994",615,
161634,Sonya,Randall,Female,66,1,1,Y,BOB0002345,"Bicknell  Route, 4476",616,
170345,Tony,Warner,Male,31,9,2,Y,BOB0002348,"Church Grove, 7476",726,
188188,Carina,Adler,Female,42,7,2,Y,BOB0002345,"Fawn Crossroad, 2146",729,
188199,Isla,Nicolas,Female,43,10,2,Y,BOB0002347,"Calverley  Street, 9556",788,
188888,Penelope,Watt,Female,59,0,1,Y,BOB0002345,"Lake Tunnel, 131",806,
188889,Bryce,Forth,Female,37,9,1,Y,BOB0002346,"Becher  Street, 839",651,
188919,Gil,Williams,Male,32,4,2,Y,BOB0002347,"Cedarne  Vale, 9729",503,
188920,Maddison,Moore,Female,57,6,2,Y,BOB0002347,"Arline    Street, 5840",610,
188927,Fred,Brennan,Male,44,5,2,Y,BOB0002348,"Blandford  Street, 3645",729,
189992,Domenic,Yard,Male,51,0,1,Y,BOB0002347,"Catherine  Hill, 5458",721,
189993,Barry,Butler,Male,42,5,2,Y,BOB0002347,"Charterhouse  Avenue, 9085",779,
189996,Martin,Ward,Male,56,10,2,Y,BOB0002348,"College  Hill, 7780",608,
190003,Shannon,Mcgee,Female,24,7,1,Y,BOB0002347,"English   Road, 7358",618,
190004,Sienna,Swift,Female,42,6,2,Y,BOB0002349,"Bendmore  Vale, 5011",599,
190005,Janice,Rowlands,Female,36,5,1,Y,BOB0002347,"Balham   Street, 1650",681,
190006,Sloane,Tate,Female,26,4,1,Y,BOB0002348,"Dunsley  Avenue, 8080",556,
190007,Hadley,Jarvis,Female,54,5,2,Y,BOB0002346,"Armory  Drive, 6490",692,
190008,Paige,Wilkinson,Female,62,3,1,Y,BOB0002348,"Underwood  Tunnel, 2083",756,
190009,Julia,Norman,Female,35,3,1,Y,BOB0002346,"Arlington  Crossroad, 3315",719,
190010,Kendra,Janes,Female,30,4,2,Y,BOB0002345,"Cardinal Pass, 2816",777,
190012,Davina,Hope,Female,66,9,1,Y,BOB0002346,"Queen Road, 6132",560,
190013,Rhea,Reid,Female,25,2,2,Y,BOB0002346,"Walnut Way, 6921",651,
190027,Nate,Moss,Male,43,8,1,Y,BOB0002349,"Bekesbourne   Grove, 6170",439,
190029,Natalie,Hilton,Female,40,5,2,Y,BOB0002347,"Vine  Lane, 9567",512,
190034,Aiden,Styles,Male,27,2,2,Y,BOB0002348,"Ayres   Rue, 6748",677,
190038,Naomi,Ellis,Female,34,6,1,Y,BOB0002347,"Castlereagh   Hill, 5820",563,
190039,Rita,Stevenson,Female,36,8,1,Y,BOB0002346,"Apothecary   Pass, 5454",693,
190040,Gemma,Doherty,Female,32,9,1,Y,BOB0002345,"Chambers  Boulevard, 7500",765,
190042,Carl,Raven,Male,36,2,1,Y,BOB0002346,"Cephas  Boulevard, 1684",654,
190046,Emerald,Calderwood,Female,27,7,2,Y,BOB0002347,"Woodland Drive, 660",850,
190047,Ronald,Dubois,Male,47,1,1,Y,BOB0002347,"Addison  Tunnel, 7554",581,
190048,Erick,Talbot,Male,30,0,1,Y,BOB0002345,"Sundown Way, 1833",678,
190049,Brad,Richards,Male,33,7,2,Y,BOB0002349,"Abourne   Lane, 8022",758,
190051,Cristal,Rowan,Female,39,9,2,Y,BOB0002345,"Calvin   Rue, 110",458,
190052,Benny,Partridge,Male,42,2,2,Y,BOB0002345,"Charterhouse  Grove, 834",567,
190053,Olivia,Nielson,Female,36,8,2,Y,BOB0002349,"Rosewood Boulevard, 5589",649,
190056,Melody,Robinson,Female,46,3,2,Y,BOB0002349,"Canning  Grove, 8346",663,
190060,Alison,Watson,Female,42,2,4,Y,BOB0002346,"Shepherds  Boulevard, 2390",618,
190061,Martin,Terry,Male,57,7,1,Y,BOB0002349,"Bales  Way, 4888",753,
190062,Samara,Samuel,Female,25,7,1,Y,BOB0002348,"Pine Rue, 6809",503,
190063,Marjorie,Lakey,Female,44,8,2,Y,BOB0002346,"Linda   Avenue, 5304",583,
190064,George,Varndell,Male,35,3,2,Y,BOB0002346,"Carlisle  Rue, 2580",784,
190066,Goldie,Kelly,Female,33,5,1,Y,BOB0002346,"Wake  Pass, 4106",491,
190067,Marvin,Clifton,Male,30,2,2,Y,BOB0002348,"Chambers  Pass, 6012",692,
190068,Kenzie,Mason,Female,36,1,1,Y,BOB0002347,"Bigland  Boulevard, 1935",566,
190069,Matt,Robinson,Male,31,9,1,Y,BOB0002345,"East Pass, 1047",733,
190070,Bryon,Gardner,Male,32,2,2,Y,BOB0002345,"Fieldstone Rue, 7616",435,
190071,David,Stewart,Male,27,3,2,Y,BOB0002345,"Sheffield Vale, 4999",691,
190072,Samantha,Ballard,Female,72,1,2,Y,BOB0002348,"Parkgate  Avenue, 4021",673,
190073,Clint,Wilkinson,Male,40,5,2,Y,BOB0002345,"Belgrave  Street, 8505",710,
190074,Julianna,Thomson,Female,35,1,2,Y,BOB0002347,"Capeners  Drive, 8438",630,
190075,Makenzie,Logan,Female,35,4,2,Y,BOB0002349,"Unwin  Alley, 2424",754,
190076,Manuel,Silva,Male,26,0,1,Y,BOB0002345,"Ampton  Hill, 3600",682,
190077,Lynn,Rixon,Female,36,8,1,Y,BOB0002347,"Abbots   Tunnel, 6594",745,
190078,Tony,Nurton,Male,34,7,2,Y,BOB0002347,"Clissold  Tunnel, 2843",687,
190079,Bryon,Robinson,Male,46,9,1,Y,BOB0002346,"Caxton  Crossroad, 5384",702,
190081,Ethan,Beal,Male,39,3,1,Y,BOB0002345,"Thorndike   Route, 1779",521,
190082,Nancy,Pope,Female,36,8,1,Y,BOB0002346,"Lake Street, 9477",607,
190094,Marjorie,Jackson,Female,34,5,1,Y,BOB0002346,"Apsley    Lane, 7415",464,
190095,Roger,Logan,Male,41,6,1,Y,BOB0002348,"Apothecary   Drive, 1038",657,
190097,Janice,Collingwood,Female,38,9,1,Y,BOB0002346,"Sundown Drive, 6819",469,
190098,Wendy,Logan,Female,29,6,1,Y,BOB0002345,"Ashley Lane, 2821",813,
190099,Phillip,Devonport,Male,23,9,2,Y,BOB0002348,"Walnut Street, 2413",451,
190100,Anthony,Simpson,Male,53,5,1,Y,BOB0002348,"Clere  Grove, 1813",415,
190101,Javier,Oswald,Male,34,9,2,Y,BOB0002347,"Longmoore   Street, 3677",686,
190102,Vivian,Brett,Female,30,3,2,Y,BOB0002346,"Linda   Street, 384",734,
190106,Clint,York,Male,46,6,2,Y,BOB0002345,"Becklow  Crossroad, 5018",725,
190107,Fred,Varley,Male,63,4,3,Y,BOB0002349,"Bennett  Route, 1374",529,
190108,Alison,King,Female,35,2,1,Y,BOB0002345,"Church Grove, 9105",661,
190109,Hayden,Wilson,Male,55,8,2,Y,BOB0002345,"Underwood  Pass, 7250",509,
190112,Carmella,Whitehouse,Female,37,5,1,Y,BOB0002348,"Black Swan  Hill, 4333",639,
190116,Mabel,Ellis,Female,45,2,1,Y,BOB0002348,"Chicksand  Walk, 6768",850,
190117,Rosa,Stewart,Female,74,3,2,Y,BOB0002345,"Tiptree   Avenue, 6558",545,
190118,Barney,Parker,Male,26,8,2,Y,BOB0002347,"Vincent  Alley, 6519",610,
190119,Phillip,Evans,Male,32,6,2,Y,BOB0002346,"Billing  Way, 4370",485,
190124,Matt,Harper,Male,39,8,1,Y,BOB0002346,"Belmore  Pass, 708",769,
190128,Mike,Snell,Male,44,3,2,Y,BOB0002345,"Lincoln Road, 391",744,
190129,Chloe,Stewart,Female,38,3,2,Y,BOB0002346,"Magnolia Crossroad, 2014",681,
190130,Peter,Payne,Male,50,4,1,Y,BOB0002348,"Fairbairn  Lane, 8394",669,
190131,Amy,Snell,Female,31,2,2,Y,BOB0002346,"Gautrey  Crossroad, 2925",580,
190132,Karla,Bayliss,Female,43,9,2,Y,BOB0002345,"Dyott   Crossroad, 1344",647,
